"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 05 20:49:12 KRAT 2026","Tue May 05 20:49:13 KRAT 2026","331","tests","test_create_order","TestCreateOrder","","","Создание заказа без авторизации, но с ингредиентами",""
"passed","Tue May 05 20:49:19 KRAT 2026","Tue May 05 20:49:20 KRAT 2026","306","tests","test_create_order","TestCreateOrder","","","Создание заказа с неверным хешем ингредиентов",""
"passed","Tue May 05 20:49:25 KRAT 2026","Tue May 05 20:49:25 KRAT 2026","320","tests","test_user_registration","TestUserRegistration","","","Создание пользователя без заполнения обязательного поля",""
"passed","Tue May 05 20:49:21 KRAT 2026","Tue May 05 20:49:21 KRAT 2026","410","tests","test_user_login","TestUserLogin","","","Вход под существующим пользователем",""
"passed","Tue May 05 20:49:22 KRAT 2026","Tue May 05 20:49:23 KRAT 2026","1076","tests","test_user_registration","TestUserRegistration","","","Создание уникального пользователя",""
"passed","Tue May 05 20:49:08 KRAT 2026","Tue May 05 20:49:12 KRAT 2026","3717","tests","test_create_order","TestCreateOrder","","","Создание заказа с авторизацией и ингредиентами",""
"passed","Tue May 05 20:49:13 KRAT 2026","Tue May 05 20:49:17 KRAT 2026","3764","tests","test_create_order","TestCreateOrder","","","Создание заказа с ингредиентами",""
"passed","Tue May 05 20:49:25 KRAT 2026","Tue May 05 20:49:25 KRAT 2026","343","tests","test_user_registration","TestUserRegistration","","","Создание пользователя без заполнения обязательного поля",""
"passed","Tue May 05 20:49:18 KRAT 2026","Tue May 05 20:49:18 KRAT 2026","306","tests","test_create_order","TestCreateOrder","","","Создание заказа без ингредиентов",""
"passed","Tue May 05 20:49:22 KRAT 2026","Tue May 05 20:49:22 KRAT 2026","399","tests","test_user_login","TestUserLogin","","","Вход с неверным логином и паролем",""
"passed","Tue May 05 20:49:25 KRAT 2026","Tue May 05 20:49:26 KRAT 2026","316","tests","test_user_registration","TestUserRegistration","","","Создание пользователя без заполнения обязательного поля",""
"passed","Tue May 05 20:49:24 KRAT 2026","Tue May 05 20:49:24 KRAT 2026","356","tests","test_user_registration","TestUserRegistration","","","Создание пользователя, который уже зарегистрирован",""
